"PAREDINT","BOOKSHOME","TECH","READ_AVG"
16,6,0.7641,660.5553
16,2,1.6565,373.3392
16,2,-0.5298,241.1554
9,3,1.7404,568.4201
16,4,0.1891,547.7457
14.5,2,-0.0073,568.2944
14.5,4,-0.5891,660.5043
12,2,-0.1177,564.4733
12,4,0.3019,411.543
6,2,1.0618,582.5551
16,7,-1.3704,505.8591
16,4,1.2039,560.8923
12,4,-0.4482,545.9864
16,3,1.6095,459.786
16,2,0.0291,386.3082
14.5,3,0.1952,563.5159
16,2,-0.9062,362.2787
12,4,-0.0073,445.825
16,3,0.9688,535.4152
9,2,-0.6653,458.2594
16,3,0.9745,483.4405
16,6,2.024,581.3107
14.5,7,0.9758,629.7686
12,1,-0.5434,292.59
12,6,1.644,576.3888
16,2,0.1891,431.211
12,6,0.0775,606.4264
12,2,-2.0887,422.1039
14.5,3,0.7159,453.5156
16,3,1.7161,466.9135
12,3,0.4484,653.1973
16,2,0.4088,538.7843
16,3,0.2317,651.9197
12,2,0.7102,397.9033
16,1,0.9229,185.8032
16,4,0.5598,656.8715
16,3,1.7401,383.0467
16,1,0.4963,268.7379
16,7,0.6259,349.2913
12,3,0.4706,392.4967
16,4,1.0471,505.193
14.5,1,0.8785,409.398
16,4,1.7078,352.1044
12,4,1.1292,447.2955
12,2,-0.6773,267.9278
12,2,-0.4745,407.841
14.5,1,-1.3015,483.1898
16,7,0.1601,573.749
12,2,0.8086,453.0108
12,3,-0.2741,540.2758
16,3,-0.6322,412.0773
16,7,0.8511,518.3745
12,1,0.183,527.9469
14.5,4,-0.1323,674.3138
16,4,0.2608,752.2281
12,3,0.9964,511.1573
16,2,1.2598,295.659
16,4,0.1693,603.383
16,3,0.4484,590.1854
16,1,-0.1122,290.6818
12,2,-0.4924,531.1227
16,4,2.2514,604.9771
16,2,-0.2067,417.8966
16,2,-1.5074,373.5296
12,6,1.2217,598.0499
12,4,1.7693,429.2354
16,1,-0.7095,299.3473
6,3,-0.8787,552.9025
14.5,4,0.8511,490.8117
14.5,3,0.7272,537.2888
16,3,0.5869,484.4534
9,2,0.7215,525.861
14.5,6,-0.8383,499.1345
14.5,4,-0.3928,662.9198
16,2,-0.2097,463.5516
14.5,3,-0.2097,593.693
16,6,-0.2705,531.3167
16,4,0.7801,609.1329
16,3,-0.2595,597.2434
12,3,1.3033,638.2887
16,4,1.4837,454.6237
12,3,-0.0875,387.7415
14.5,6,-0.4094,499.7189
16,2,0.4287,425.4511
12,2,1.0229,635.2534
3,2,-1.3015,429.3001
16,7,4.1742,551.0889
12,2,-1.7191,461.2738
16,2,0.822,663.3158
12,4,1.3291,408.3641
12,2,-1.0825,432.0185
12,3,-1.4093,411.2696
16,4,-0.6516,433.3936
16,4,1.137,458.7366
16,1,0.0526,440.1535
16,4,1.002,557.3543
12,3,0.8205,589.7004
16,6,0.4562,684.3684
16,3,0.7159,479.6787
16,2,0.5224,535.0485
16,4,0.9868,462.7731
6,2,-1.0696,369.5347
16,6,1.5613,605.3945
16,4,0.4668,544.1152
12,3,0.5607,613.2789
16,4,1.0308,347.3743
12,2,-0.8787,413.8924
16,2,-1.4844,261.0802
16,7,2.3526,565.4536
16,4,-1.0502,602.293
16,4,0.7698,548.0034
16,4,0.2292,645.6956
16,3,0.5838,433.8121
9,3,-0.896,355.5093
12,4,0.8068,531.7781
16,2,0.1162,292.158
12,6,-0.3003,575.9492
12,2,1.438,548.0226
9,1,-0.5887,325.499
12,6,1.3547,627.1493
12,1,-0.5191,546.308
9,3,1.253,466.3814
12,4,0.183,504.0092
3,2,-0.3003,587.3537
16,4,0.2181,584.4672
16,1,1.3896,404.3286
16,2,-0.6055,424.2709
12,3,-0.0877,446.9543
12,1,0.4888,432.913
12,3,0.4484,546.1856
12,1,0.9702,332.3531
16,6,-0.0683,604.0551
12,4,-0.385,583.6079
16,2,1.1343,484.0495
16,4,0.3507,462.9433
16,7,-1.0503,646.5383
9,3,1.1012,518.9054
14.5,4,1.7053,376.7079
14.5,4,0.0189,467.2311
12,1,-0.1083,498.1835
12,2,0.9758,564.493
16,4,1.2509,500.4983
16,3,1.3693,505.5357
14.5,1,-1.1824,409.8204
16,3,-1.9534,274.4074
16,4,-0.1496,579.5626
12,3,0.7159,522.0708
12,4,-0.0877,645.7434
16,6,-0.0939,565.1722
14.5,2,-0.9037,280.8264
12,1,-0.3588,491.7636
12,4,0.8086,528.8148
14.5,6,-0.6717,589.3511
14.5,3,1.3291,582.4767
14.5,4,-0.6259,555.6246
16,1,-1.1667,259.0598
12,4,-0.102,549.6528
16,3,1.1343,506.9146
16,2,0.7159,460.7866
16,3,1.8285,298.0504
16,4,0.3447,375.2711
12,4,0.5153,481.9273
9,2,1.0804,468.293
12,3,-0.228,511.0984
12,7,1.253,350.4274
16,4,0.7374,675.495
16,6,0.5504,645.5635
12,4,-0.0022,464.389
16,3,-1.0112,509.114
14.5,4,0.1891,508.7785
12,2,0.0291,423.3261
12,2,-1.7809,508.5965
12,4,0.6731,428.1529
14.5,4,0.0463,510.7598
12,3,-0.3132,475.918
16,1,-0.6977,322.2302
9,4,0.7641,414.5783
16,4,0.4207,597.1134
9,2,0.348,305.2803
