"PAREDINT","BOOKSHOME","READ_AVG"
9,2,341.2226
12,3,530.3919
12,2,633.3021
16,4,656.8386
12,2,416.972
16,NA,446.5286
12,4,428.3498
16,4,442.1145
16,4,627.7838
16,4,558.6357
16,6,408.5544
12,4,595.2799
16,4,672.1007
14.5,4,411.9453
16,4,289.7884
12,3,497.2607
16,4,562.9442
12,NA,441.6428
16,6,611.6888
16,2,486.8228
16,2,568.4505
16,4,404.5475
16,6,630.1651
6,1,405.8223
12,4,638.9378
16,NA,530.3777
16,NA,536.4669
9,2,313.7807
16,NA,610.9426
12,2,416.9802
16,4,378.3061
12,3,525.664
14.5,4,625.4401
16,3,524.2987
12,NA,553.8484
12,3,538.907
16,1,367.039
12,2,401.2959
16,4,652.8608
9,1,471.1039
12,3,419.7953
16,NA,628.7238
12,3,454.1681
16,3,570.634
16,2,540.1381
14.5,4,495.229
12,3,541.2008
14.5,4,488.355
16,NA,531.6289
16,3,719.1293
12,4,535.9883
12,2,547.1588
16,4,638.2178
12,1,500.7577
16,4,512.6097
9,1,433.5992
9,4,394.8504
12,NA,505.6066
12,3,553.5098
12,6,596.4201
12,2,374.6796
6,4,525.1505
14.5,3,469.7504
12,2,449.4278
16,2,594.2079
16,3,624.876
16,NA,586.6814
14.5,3,373.4779
12,4,467.4685
14.5,2,578.3756
NA,1,288.6892
16,NA,687.9648
14.5,4,744.6389
16,2,485.3559
16,2,483.1301
12,1,459.7907
12,4,536.4865
16,2,448.2439
NA,3,418.2831
12,2,396.7028
12,4,459.5414
16,6,567.9588
16,3,473.5707
12,3,570.0379
14.5,3,543.7593
16,4,396.7199
16,6,625.4585
16,4,398.8106
16,4,520.0316
16,4,575.9889
16,4,304.6151
12,2,420.7486
14.5,2,457.0678
16,NA,560.0893
12,1,390.7351
16,6,556.5388
9,4,551.8729
9,3,474.0533
16,6,553.4996
NA,3,576.6248
16,2,555.7659
16,2,358.5381
NA,NA,406.0747
12,NA,588.9609
16,2,446.3122
16,2,517.8566
12,4,404.0037
14.5,2,456.1049
16,4,354.3052
12,3,488.7743
16,3,360.9057
16,NA,487.8278
16,3,541.168
12,3,527.4674
12,NA,534.2428
12,4,443.3288
16,NA,679.1272
16,7,521.5245
12,6,465.0947
16,3,443.9117
16,NA,489.9091
16,4,398.686
16,4,596.5129
14.5,NA,705.7052
16,6,478.7824
12,4,528.4201
12,6,489.2715
12,1,408.3139
9,4,490.1244
9,2,402.3203
12,NA,547.1316
12,2,456.8226
12,NA,511.2633
16,7,595.0605
12,NA,548.9469
12,NA,637.9802
12,2,436.2287
12,6,466.5894
16,4,506.3839
16,NA,363.922
16,6,644.5137
16,NA,509.7879
16,2,470.853
16,4,577.0212
12,2,355.0829
16,NA,690.5783
12,4,602.8459
NA,2,382.5841
12,2,357.7489
16,4,634.135
NA,NA,438.7689
9,3,391.4506
16,4,385.2112
16,4,558.2266
16,2,371.8053
6,1,424.2388
16,NA,633.2441
16,6,670.9904
16,NA,531.1864
16,1,588.5421
16,NA,604.0757
16,7,541.9232
14.5,3,495.7541
9,3,389.9454
16,2,662.0744
12,NA,519.8156
16,2,379.508
16,6,513.9736
16,4,398.8243
16,3,395.369
16,2,527.5936
16,4,565.6561
16,2,482.4095
16,4,573.3446
12,4,592.2032
12,6,548.7974
16,1,514.2265
16,3,385.2587
9,4,545.7418
16,3,469.7606
12,2,623.3519
3,1,499.5755
9,3,398.9082
16,3,488.6547
16,6,445.0135
16,2,515.0832
16,3,466.0888
16,4,642.2232
16,4,491.7551
16,7,453.8617
16,2,447.6519
12,2,382.6579
16,4,410.4481
16,4,572.4194
12,2,553.0923
16,4,392.6559
12,4,460.1473
6,NA,563.4239
12,NA,362.1186
16,3,600.6434
16,NA,407.083
9,4,362.8892
9,2,467.997
16,4,641.8771
16,NA,661.3968
16,NA,611.7519
16,4,622.9505
12,4,534.9391
16,2,502.3129
16,NA,588.3267
16,4,354.4143
6,1,472.0039
16,6,576.3434
14.5,4,363.1017
16,NA,446.6372
12,2,594.4315
9,2,426.9756
16,1,448.5223
16,NA,443.3035
16,4,519.0528
16,6,354.1651
16,4,460.222
6,4,571.866
16,NA,561.7693
14.5,NA,580.4319
12,4,470.2668
16,4,339.3172
16,NA,446.2827
12,3,459.4292
16,4,674.9214
12,4,557.3746
16,3,298.9405
12,NA,561.3075
12,4,599.8479
16,4,361.6496
12,3,531.4788
16,1,420.6007
12,1,547.0069
12,4,534.2377
12,2,549.4401
16,NA,491.9925
9,2,443.9853
12,1,316.9869
16,2,373.5708
16,6,478.5751
NA,NA,546.868
16,6,551.9868
3,2,403.099
12,2,386.4983
12,4,555.1544
16,2,436.3691
14.5,4,622.6992
14.5,6,478.4258
NA,1,453.0258
14.5,4,621.6146
16,4,605.7861
14.5,4,571.684
16,NA,787.8546
16,6,536.6698
16,4,555.6875
16,3,451.2322
16,7,449.2976
16,4,439.1642
16,1,461.6242
16,2,529.4996
16,NA,707.1887
16,6,511.0947
16,3,467.6956
14.5,2,449.0133
16,4,566.217
16,4,526.9993
16,4,593.6708
12,3,441.5435
6,1,311.0857
9,2,509.2343
16,4,531.8768
16,4,419.3904
14.5,NA,553.8094
12,4,465.6949
16,4,573.7855
12,NA,550.1328
16,6,438.3839
9,3,298.3111
9,2,424.9172
12,3,431.5171
NA,NA,272.0427
12,NA,508.1873
16,NA,406.1892
16,2,485.7841
16,3,483.2643
12,2,406.0978
16,2,412.5531
16,4,630.8079
16,4,737.0834
12,2,335.7568
16,3,684.898
12,2,606.8737
16,2,362.0663
16,4,520.1338
16,NA,671.8856
16,1,382.4821
NA,NA,377.4071
14.5,4,699.8383
14.5,2,468.0097
12,4,593.6887
NA,NA,491.1861
16,4,505.9209
16,1,537.7503
12,3,392.9442
NA,1,418.2589
9,2,510.1643
16,3,516.9978
16,NA,614.3048
16,3,487.5984
16,6,623.7049
NA,1,336.021
16,6,581.9016
16,3,603.3001
NA,NA,638.962
12,4,592.0662
12,3,594.9124
12,2,513.5999
12,NA,369.0071
9,4,489.4897
12,2,542.069
14.5,6,506.3111
9,3,399.9337
12,3,470.2573
16,4,433.1861
14.5,4,680.4774
14.5,4,698.561
12,3,399.956
12,1,567.8688
16,4,601.5871
16,3,603.3069
16,4,712.9974
16,2,364.3722
16,3,451.3412
12,4,670.5782
14.5,2,471.8899
12,3,379.3992
16,NA,472.8447
16,2,315.5192
12,NA,620.7048
16,1,434.8047
16,7,670.586
12,6,550.3883
16,1,296.3262
12,4,340.0657
16,3,437.8875
12,4,492.3757
16,NA,471.0191
12,2,467.8617
9,4,710.4742
16,NA,687.2893
16,NA,501.5244
NA,NA,448.196
12,NA,374.7331
16,2,442.31
12,2,493.3261
NA,NA,596.0861
9,4,563.5037
16,4,622.3552
16,4,564.695
16,2,455.3095
16,3,325.8777
12,3,442.1418
12,4,454.214
16,NA,680.0794
16,3,630.4395
14.5,6,499.5095
9,2,475.0738
16,4,508.8801
16,1,225.0915
16,NA,630.1911
12,3,532.2087
14.5,4,604.0582
12,4,377.2963
3,3,606.5228
16,2,441.5415
16,4,614.4801
12,2,547.1332
16,2,607.9766
16,6,589.0853
16,7,572.892
16,4,527.5827
16,2,540.5234
16,NA,591.9713
16,NA,611.9356
16,7,536.6885
16,NA,575.0979
16,NA,537.644
NA,NA,470.6693
16,4,400.9506
14.5,4,638.386
14.5,NA,570.9028
9,3,464.5823
16,2,363.5187
16,6,582.1861
16,3,355.3855
9,2,358.9547
12,3,647.8376
12,2,418.9702
12,4,377.3766
16,3,504.0445
12,3,487.8847
16,6,616.9506
12,2,319.6387
16,6,684.5244
12,2,483.4321
12,2,368.9049
16,NA,556.3952
16,2,350.5053
16,2,494.5442
12,3,455.1441
12,4,565.1626
12,6,635.2184
16,NA,572.6653
16,1,379.4896
16,3,363.9932
12,3,514.9852
12,4,568.3699
16,NA,675.4127
NA,2,483.3058
16,4,400.6111
16,NA,430.2647
12,4,586.5848
12,7,611.4294
16,6,687.665
12,2,411.5676
16,4,645.3518
16,NA,523.3346
12,6,646.9444
16,7,605.7694
16,6,664.8412
16,7,623.9035
16,3,601.7468
16,3,474.2407
16,4,637.8558
12,4,383.2474
16,4,574.4537
16,3,546.1709
16,3,615.7747
16,2,456.0917
16,3,539.736
14.5,3,524.0516
16,3,415.7457
12,3,566.9548
12,2,537.0465
16,3,444.6531
12,3,449.821
16,4,467.8226
16,7,594.2597
16,1,385.6796
12,3,363.5119
12,3,523.8275
16,4,472.109
12,4,569.7004
16,4,495.6544
16,6,541.2178
12,2,520.3693
16,4,520.6256
6,2,446.9626
12,2,544.0418
16,6,484.9619
16,NA,590.97
3,2,434.0963
12,2,545.2962
12,4,462.9651
14.5,4,400.8253
16,6,546.6531
12,NA,398.6784
9,4,475.551
12,4,467.6549
NA,1,326.6531
16,1,643.1472
12,NA,568.8967
16,6,453.1341
16,6,742.8608
12,4,493.3416
NA,NA,428.9433
12,NA,325.7503
12,2,406.1224
16,4,392.6396
12,NA,646.0565
16,7,587.1865
12,1,331.3106
16,4,540.5525
16,NA,675.7715
12,NA,565.8274
16,NA,373.1567
16,4,591.8943
